1.
index,params,recall@10,qps,build_time_s,queries
IVFPQfs,"nlist=1024 nprobe=32 m=64 nbits=4 bbs=32 k_reorder=10",0.967310,149732.78,18.061,10000
IVFPQfs,"nlist=1024 nprobe=64 m=64 nbits=4 bbs=32 k_reorder=10",0.984440,119239.75,18.061,10000
IVFPQfs,"nlist=1024 nprobe=128 m=64 nbits=4 bbs=32 k_reorder=10",0.987770,84604.82,18.061,10000
5.
index,params,recall@10,qps,build_time_s,queries
IVFFlat,"nlist=1024 nprobe=1",0.397720,135456.34,14.250,10000
IVFFlat,"nlist=1024 nprobe=2",0.553430,76417.99,14.250,10000
IVFFlat,"nlist=1024 nprobe=4",0.708310,41935.53,14.250,10000
IVFFlat,"nlist=1024 nprobe=8",0.837110,21195.06,14.250,10000
IVFFlat,"nlist=1024 nprobe=16",0.926870,11561.62,14.250,10000
IVFFlat,"nlist=1024 nprobe=32",0.976790,6201.66,14.250,10000
IVFFlat,"nlist=1024 nprobe=64",0.995240,3078.52,14.250,10000
IVFFlat,"nlist=1024 nprobe=128",0.999080,1627.73,14.250,10000
IVFPQ,"nlist=1024 nprobe=1 m=64 nbits=8",0.389550,310783.72,23.956,10000
IVFPQ,"nlist=1024 nprobe=2 m=64 nbits=8",0.534920,258658.87,23.956,10000
IVFPQ,"nlist=1024 nprobe=4 m=64 nbits=8",0.671670,184189.13,23.956,10000
IVFPQ,"nlist=1024 nprobe=8 m=64 nbits=8",0.774270,112702.25,23.956,10000
IVFPQ,"nlist=1024 nprobe=16 m=64 nbits=8",0.835970,56599.49,23.956,10000
IVFPQ,"nlist=1024 nprobe=32 m=64 nbits=8",0.865050,30871.79,23.956,10000
IVFPQ,"nlist=1024 nprobe=64 m=64 nbits=8",0.874230,15492.59,23.956,10000
IVFPQ,"nlist=1024 nprobe=128 m=64 nbits=8",0.876010,9047.37,23.956,10000
IVFPQfs,"nlist=1024 nprobe=1 m=64 nbits=4 bbs=32 k_reorder=10",0.396940,207171.06,16.631,10000
IVFPQfs,"nlist=1024 nprobe=2 m=64 nbits=4 bbs=32 k_reorder=10",0.551850,190768.26,16.631,10000
IVFPQfs,"nlist=1024 nprobe=4 m=64 nbits=4 bbs=32 k_reorder=10",0.705550,192994.02,16.631,10000
IVFPQfs,"nlist=1024 nprobe=8 m=64 nbits=4 bbs=32 k_reorder=10",0.832440,198878.22,16.631,10000
IVFPQfs,"nlist=1024 nprobe=16 m=64 nbits=4 bbs=32 k_reorder=10",0.919960,176631.87,16.631,10000
IVFPQfs,"nlist=1024 nprobe=32 m=64 nbits=4 bbs=32 k_reorder=10",0.967310,146686.85,16.631,10000
IVFPQfs,"nlist=1024 nprobe=64 m=64 nbits=4 bbs=32 k_reorder=10",0.984440,113925.61,16.631,10000
IVFPQfs,"nlist=1024 nprobe=128 m=64 nbits=4 bbs=32 k_reorder=10",0.987770,81982.43,16.631,10000
